"radioMode:vector manet.host[0].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.409045020124,2
7.409180020124,3
7.409350020124,2
7.409971020124,3
7.410141020124,2
7.410816020124,3
7.410986020124,2
7.411931020124,3
7.412101020124,2
7.415538988324,3
7.415708988324,2
7.418048988324,3
7.418218988324,2
7.418290988324,3
7.418540988324,2
7.418892988324,3
7.419142988324,2
7.419201612584,3
7.419359612584,2
7.419638612584,3
7.419796612584,2
7.420309612584,3
7.420467612584,2
7.421610612584,3
7.421768612584,2
7.423667612584,3
7.423825612584,2
7.426192612584,3
7.426350612584,2
7.428417236311,3
7.428575236311,2
7.428710236311,3
7.428960236311,2
7.429411236311,3
7.429661236311,2
7.429719859881,3
7.429877859881,2
7.430102859881,3
7.430260859881,2
7.430737859881,3
7.430895859881,2
7.431183859881,3
7.431341859881,2
7.431445483338,3
7.431695483338,2
7.432101483338,3
7.432351483338,2
7.433171483338,3
7.433421483338,2
7.434357483261,3
7.434607483261,2
7.435886483261,3
7.436136483261,2
7.437757483261,3
7.438007483261,2
7.438066106284,3
7.438224106284,2
7.438467106284,3
7.438625106284,2
7.439111106284,3
7.439269106284,2
7.440313106284,3
7.440471106284,2
7.442352106284,3
7.442510106284,2
7.446049728988,3
7.446207728988,2
7.446311351471,3
7.446561351471,2
7.447057351471,3
7.447307351471,2
7.447929351471,3
7.448179351471,2
7.449350351471,3
7.449600351471,2
7.449658973735,3
7.449816973735,2
7.449920595982,3
7.450090595982,2
7.450221218212,3
7.450471218212,2
7.450958218212,3
7.451208218212,2
7.451686218212,3
7.451936218212,2
7.452945218212,3
7.453195218212,2
7.454303218212,3
7.454553218212,2
7.454611840152,3
7.454769840152,2
7.455057840152,3
7.455215840152,2
7.455409462046,3
7.455659462046,2
7.455718083913,3
7.455876083913,2
7.456119083913,3
7.456277083913,2
7.456664083913,3
7.456822083913,2
7.456898705701,3
7.457148705701,2
7.457653705701,3
7.457903705701,2
7.458723705701,3
7.458973705701,2
7.459032327352,3
7.459190327352,2
7.459307327352,3
7.459465327352,2
7.460023327352,3
7.460181327352,2
7.461000327352,3
7.461158327352,2
7.463739948876,3
7.463897948876,2
7.463974570202,3
7.464224570202,2
7.464684570202,3
7.464934570202,2
7.465628570202,3
7.465878570202,2
7.466410570202,3
7.466660570202,2
7.466949570202,3
7.467199570202,2
7.467258191315,3
7.467416191315,2
7.467722191315,3
7.467880191315,2
7.468010812381,3
7.468180812381,2
7.468405812381,3
7.468575812381,2
7.468935812381,3
7.469105812381,2
7.469267812381,3
7.469437812381,2
7.471138812381,3
7.471308812381,2
7.471412433223,3
7.471662433223,2
7.472131433223,3
7.472381433223,2
7.472440053998,3
7.472598053998,2
7.472850053998,3
7.473008053998,2
7.474136674724,3
7.474294674724,2
7.474690674724,3
7.474848674724,2
7.475865674724,3
7.476023674724,2
7.477184674724,3
7.477342674724,2
7.483003674724,3
7.483161674724,2
7.483341674724,3
7.483591674724,2
7.483925674724,3
7.484175674724,2
7.484788674724,3
7.485038674724,2
7.485097294674,3
7.485255294674,2
7.485516294674,3
7.485674294674,2
7.485840914579,3
7.486090914579,2
7.486532914579,3
7.486782914579,2
7.486841534415,3
7.486999534415,2
7.487202154234,3
7.487452154234,2
7.487732154234,3
7.487982154234,2
7.488595154234,3
7.488845154234,2
7.488903773936,3
7.489061773936,2
7.489201393621,3
7.489371393621,2
7.489538013286,3
7.489788013286,2
7.489846632927,3
7.490004632927,2
7.490337632927,3
7.490495632927,2
7.490585632927,3
7.490743632927,2
7.491220632927,3
7.491378632927,2
7.492422632927,3
7.492580632927,2
7.492774252383,3
7.493024252383,2
7.493304252383,3
7.493554252383,2
7.494131252383,3
7.494381252383,2
7.494439871724,3
7.494597871724,2
7.494773491048,3
7.495023491048,2
7.495330491048,3
7.495580491048,2
7.495639110311,3
7.495797110311,2
7.495977110311,3
7.496135110311,2
7.496337729535,3
7.496587729535,2
7.497083729535,3
7.497333729535,2
7.497793729535,3
7.498043729535,2
7.498102348638,3
7.498260348638,2
7.498503348638,3
7.498661348638,2
7.498742348638,3
7.498900348638,2
7.498985967682,3
7.499155967682,2
7.499434967682,3
7.499604967682,2
7.500225967682,3
7.500395967682,2
7.501421967682,3
7.501591967682,2
7.502365967682,3
7.502535967682,2
7.50269358649,3
7.50294358649,2
7.50332258649,3
7.50357258649,2
7.50387058649,3
7.50412058649,2
7.504179205198,3
7.504337205198,2
7.504454205198,3
7.504612205198,2
7.504792205198,3
7.504950205198,2
7.505283205198,3
7.505441205198,2
7.507763205198,3
7.507921205198,2
7.510459205198,3
7.510617205198,2
7.511616823565,3
7.511774823565,2
7.511846823565,3
7.512096823565,2
7.512646823565,3
7.512896823565,2
7.513653823565,3
7.513903823565,2
7.514579823565,3
7.514829823565,2
7.515685823565,3
7.515935823565,2
7.519437255829,3
7.519687255829,2
7.523087423731,3
7.523337423731,2
7.523396041191,3
7.523554041191,2
7.523851041191,3
7.524009041191,2
7.524225041191,3
7.524383041191,2
7.524563041191,3
7.524721041191,2
7.524896658558,3
7.525146658558,2
7.525489658558,3
7.525739658558,2
7.526278658518,3
7.526528658518,2
7.526835658518,3
7.527085658518,2
7.528787658518,3
7.529037658518,2
7.533223658518,3
7.533473658518,2
7.544066762804,3
7.544316762804,2
7.544704762804,3
7.544862762804,2
7.545020378867,3
7.545270378867,2
7.545328994906,3
7.545486994906,2
7.545612994906,3
7.545770994906,2
7.546373994906,3
7.546531994906,2
7.546909994906,3
7.547067994906,2
7.548085610815,3
7.548243610815,2
7.548374226659,3
7.548544226659,2
7.548760226659,3
7.548930226659,2
7.549006842459,3
7.549256842459,2
7.549315458241,3
7.549473458241,2
7.549797458241,3
7.549955458241,2
7.550234458241,3
7.550392458241,2
7.550604073946,3
7.550854073946,2
7.551278073946,3
7.551528073946,2
7.552069073946,3
7.552319073946,2
7.554361174104,3
7.554611174104,2
7.55466978954,3
7.55482778954,2
7.55498078954,3
7.55513878954,2
7.55548078954,3
7.55563878954,2
7.55673678954,3
