"datarateSelected:vector manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.671712045924,54000000
7.672764045924,54000000
7.674600114652,54000000
7.676003114614,54000000
7.680313114614,54000000
7.680870114614,54000000
7.681168721937,54000000
7.68187732924,54000000
7.68227832924,54000000
7.683831936467,54000000
7.684925936467,54000000
7.687751936353,54000000
7.697101392838,54000000
7.697992454934,54000000
7.698843347652,54000000
7.700036061136,54000000
7.700334667241,54000000
7.700772667241,54000000
7.701020667241,54000000
7.702159667241,54000000
7.702920667241,54000000
7.705580667241,54000000
7.707880667241,54000000
7.708128667241,54000000
7.708919667241,54000000
7.709917667241,54000000
7.710216272719,54000000
7.710717272719,54000000
7.711280272719,54000000
7.714114331059,54000000
7.716479330991,54000000
7.719993613188,54000000
7.728560668598,54000000
7.728799668598,54000000
7.729082272883,54000000
7.729864272883,54000000
7.730826272883,54000000
7.732506272792,54000000
7.734653876816,54000000
7.734952480728,54000000
7.735471480728,54000000
7.736016480728,54000000
7.736948480728,54000000
7.741140532166,54000000
7.743776532114,54000000
7.746031532114,54000000
7.746396532114,54000000
7.746695135284,54000000
7.746953135284,54000000
7.747588135284,54000000
7.747903738382,54000000
7.748202341458,54000000
7.748563944517,54000000
7.749129944517,54000000
7.749749944517,54000000
7.751242944517,54000000
7.751541547382,54000000
7.751799547382,54000000
7.752151150215,54000000
7.752609150215,54000000
7.753274150215,54000000
7.754137150215,54000000
7.755225150215,54000000
7.756309150102,54000000
7.762337423988,54000000
7.762651423988,54000000
7.762950026134,54000000
7.763379026134,54000000
7.763780026134,54000000
7.76502902609,54000000
7.766027026064,54000000
7.770537069552,54000000
7.781869390189,54000000
7.782207390189,54000000
7.782505991105,54000000
7.782826991105,54000000
7.783380991105,54000000
7.783970861541,54000000
7.784662861541,54000000
7.785489861541,54000000
7.78578846225,54000000
7.786096062943,54000000
7.786761062943,54000000
7.787651062943,54000000
7.787949663517,54000000
7.788275264074,54000000
7.788634264074,54000000
7.788979864588,54000000
7.789734864588,54000000
7.790624864588,54000000
7.791217864588,54000000
7.793902464986,54000000
7.796133464986,54000000
7.805028064968,54000000
7.805648064968,54000000
7.806076064968,54000000
7.806414064968,54000000
7.807058064968,54000000
7.809448064968,54000000
7.815065795049,54000000
7.818598795049,54000000
7.819870530946,54000000
7.827707530876,54000000
7.82800612894,54000000
7.828367726988,54000000
7.828666325011,54000000
7.829005325011,54000000
7.829257922997,54000000
7.829949922997,54000000
7.830722922997,54000000
7.831021520873,54000000
7.831365118732,54000000
7.831850118732,54000000
7.832263118732,54000000
7.832802118732,54000000
7.833629118732,54000000
7.833956716429,54000000
7.834255314103,54000000
7.834540314103,54000000
7.835328314103,54000000
7.836584314103,54000000
7.837012314103,54000000
7.841319314103,54000000
7.846751314103,54000000
7.847008314103,54000000
7.847306910963,54000000
7.847690910963,54000000
7.848307910963,54000000
7.848744910963,54000000
7.851274764121,54000000
7.852845764121,54000000
7.85320636062,54000000
7.85378136062,54000000
7.85456336062,54000000
7.85534536062,54000000
7.85808036062,54000000
7.863129956792,54000000
7.867181209897,54000000
7.867479805501,54000000
7.867719805501,54000000
7.868255805501,54000000
7.869277805501,54000000
7.870965805501,54000000
7.874841400867,54000000
7.878719995951,54000000
7.879021995951,54000000
7.879758995951,54000000
7.880801995951,54000000
7.882330995951,54000000
7.882896995951,54000000
7.885280995951,54000000
7.886499590495,54000000
7.893572590495,54000000
7.893861184464,54000000
7.894355184464,54000000
7.894655778384,54000000
7.895221778384,54000000
7.896102778384,54000000
7.897460778384,54000000
7.899250778384,54000000
7.901481778384,54000000
7.905809778384,54000000
7.906339778384,54000000
7.906803778384,54000000
7.907267778384,54000000
7.907538371505,54000000
7.908167371505,54000000
7.908465964567,54000000
7.908822964567,54000000
7.909412964567,54000000
7.909804964567,54000000
7.910871964567,54000000
7.914748557499,54000000
7.915091150158,54000000
7.915389742792,54000000
7.915652335411,54000000
7.915950928011,54000000
7.916276520595,54000000
7.916518520595,54000000
7.917003520595,54000000
7.918271520595,54000000
7.919926520595,54000000
7.922337355339,54000000
7.923164355339,54000000
7.923536947509,54000000
7.923709947509,54000000
7.923850947509,54000000
7.924551947509,54000000
7.925423947509,54000000
7.926052947509,54000000
7.926351539467,54000000
7.926623131408,54000000
7.927360131408,54000000
7.928792541601,54000000
7.930427541562,54000000
7.93072613325,54000000
7.93106513325,54000000
7.931834133225,54000000
7.932145133225,54000000
7.933329133225,54000000
7.937348133225,54000000
7.93762772449,54000000
7.93821172449,54000000
7.93893972449,54000000
7.93961372449,54000000
7.941842963094,54000000
7.947981760064,54000000
7.94828035067,54000000
7.94862835067,54000000
7.949366941245,54000000
7.950280941245,54000000
7.950924941245,54000000
7.954214941245,54000000
7.96305538153,54000000
7.96334838153,54000000
7.96399538153,54000000
7.96458838153,54000000
7.964886971116,54000000
7.965270971116,54000000
7.965608971116,54000000
7.966719560654,54000000
7.968298963211,54000000
7.973058365471,54000000
7.978091596979,54000000
7.978438596979,54000000
7.979247596979,54000000
7.980308596979,54000000
7.982061185652,54000000
7.983352173758,54000000
7.983650762194,54000000
7.983971762194,54000000
7.984808749823,54000000
7.986426567859,54000000
7.986782567859,54000000
7.989534554675,54000000
7.994950554536,54000000
7.995216554536,54000000
7.995692554536,54000000
7.996465554536,54000000
7.997778554536,54000000
7.999496554536,54000000
8.003874554236,54000000
8.010450554097,54000000
8.010706140878,54000000
8.010839140878,54000000
8.011008140878,54000000
8.023672029907,54000000
8.032332077901,54000000
8.035932744776,54000000
8.037232242241,54000000
8.037822988904,54000000
8.038505381702,54000000
8.040673951913,54000000
8.625676745832,54000000
8.627419086476,54000000
8.629932862266,54000000
8.63237274544,54000000
8.636197917896,54000000
8.676225620566,54000000
8.685688664223,54000000
8.689221612614,54000000
8.690897491161,54000000
8.694248231137,54000000
8.694448231137,54000000
