"radioMode:vector manet.host[1].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-13:24:00-21284)",
8.390774931119,3
8.390808931119,2
8.391367931062,3
8.391401931062,2
8.395855930629,3
8.395889930629,2
8.408360929413,3
8.408394929413,2
8.409982246014,3
8.410016246014,2
8.41123156233,3
8.41126556233,2
8.413756562086,3
8.413790562086,2
8.421335561355,3
8.421369561355,2
8.421734875572,3
8.421768875572,2
8.422871189631,3
8.422905189631,2
8.42402818952,3
8.42406218952,2
8.425014189425,3
8.425048189425,2
8.447919187226,3
8.447953187226,2
8.484766183671,3
8.484800183671,2
8.492772182901,3
8.492806182901,2
8.504851181739,3
8.504885181739,2
8.528083179517,3
8.528117179517,2
8.541572178222,3
8.541606178222,2
8.547628177641,3
8.547662177641,2
8.587940173768,3
8.587974173768,2
8.593152173269,3
8.593186173269,2
8.595416173052,3
8.595450173052,2
8.601156172511,3
8.601190172511,2
8.602181172413,3
8.602215172413,2
8.602862451844,3
8.602896451844,2
8.615071450684,3
8.615105450684,2
8.616054727618,3
8.616088727618,2
8.61688600438,3
8.61692000438,2
8.617227004347,3
8.617261004347,2
8.619226280781,3
8.619260280781,2
8.620245556918,3
8.620279556918,2
8.622373688478,3
8.622411688478,2
8.622983832703,3
8.623017832703,2
8.623201108197,3
8.623235108197,2
8.625061108019,3
8.625095108019,2
8.626259107904,3
8.626293107904,2
8.640167274285,3
8.640201274285,2
8.645311273784,3
8.645345273784,2
8.646321544943,3
8.646355544943,2
8.64707654487,3
8.64711054487,2
8.648455815647,3
8.648489815647,2
8.654934815037,3
8.654968815037,2
8.6595038146,3
8.6595378146,2
8.659721083114,3
8.659755083114,2
8.660613083029,3
8.660647083029,2
8.662450082853,3
8.662484082853,2
8.664692082639,3
8.664726082639,2
8.665015082609,3
8.665049082609,2
8.66553608256,3
8.66557008256,2
8.665787082536,3
8.665821082536,2
8.666029082513,3
8.666063082513,2
8.66794508233,3
8.66797908233,2
8.673154081833,3
8.673188081833,2
9.622219688478,3
9.622257688478,2
9.622373227385,3
9.622407227385,2
9.622435227385,3
9.622477227385,2
9.622810227385,3
9.622852227385,2
9.622924227385,3
9.622966227385,2
9.623218766132,3
9.623260766132,2
9.625479870184,3
9.625521870184,2
9.625696408292,3
9.625738408292,2
9.626329946294,3
9.626371946294,2
9.626659946294,3
9.626701946294,2
9.62775848414,3
9.62780048414,2
9.63010448414,3
9.63014648414,2
9.633432483433,3
9.633474483433,2
9.642107584064,3
9.642149584064,2
9.642293584064,3
9.642335584064,2
9.642686584064,3
9.642728584064,2
9.643232584064,3
9.643274584064,2
9.643544584064,3
9.643586584064,2
9.645584584064,3
9.645626584064,2
9.645720117205,3
9.645762117205,2
9.646014117205,3
9.646056117205,2
9.64618565024,3
9.64622765024,2
9.64657865024,3
9.64662065024,2
9.647260292835,3
9.647302292835,2
9.647476825562,3
9.647518825562,2
9.647644825562,3
9.647686825562,2
9.648253825562,3
9.648295825562,2
9.648371358044,3
9.648413358044,2
9.648515890497,3
9.648557890497,2
9.648665890497,3
9.648707890497,2
9.648819422877,3
9.648861422877,2
9.649026955219,3
9.649068955219,2
9.649239955219,3
9.649281955219,2
9.649375487458,3
9.649417487458,2
9.649538019663,3
9.649580019663,2
9.649673551828,3
9.649715551828,2
9.649845083959,3
9.649887083959,2
9.649968083959,3
9.650010083959,2
9.650559083959,3
9.650601083959,2
9.651168083959,3
9.651210083959,2
9.651975083959,3
9.652017083959,2
9.656291327472,3
9.656333327472,2
9.664754422851,3
9.664796422851,2
9.664940422851,3
9.664982422851,2
9.665054422851,3
9.665096422851,2
9.665207951184,3
9.665249951184,2
9.665304951184,3
9.665346951184,2
9.665401951184,3
9.665443951184,2
9.671096176285,3
9.671142176285,2
9.676913480958,3
9.676947480958,2
9.677494006319,3
9.677528006319,2
9.679253817215,3
9.679299817215,2
9.683327372955,3
9.683373372955,2
9.683755043367,3
9.683801043367,2
9.686207157732,3
9.686253157732,2
9.689866053524,3
9.689912053524,2
9.707777072404,3
9.707811072404,2
9.708424072324,3
9.708458072324,2
9.710567488799,3
9.710601488799,2
9.711322488706,3
9.711356488706,2
9.711538005621,3
9.711572005621,2
9.72777181682,3
9.72780581682,2
9.729362816624,3
9.729396816624,2
9.72957832909,3
9.72961232909,2
9.730694841403,3
9.730728841403,2
9.73091035354,3
9.73094435354,2
9.731451353473,3
9.731485353473,2
9.73212235339,3
9.73215635339,2
9.736925184605,3
9.736959184605,2
9.788007252853,3
9.788041252853,2
9.789680252647,3
9.789714252647,2
9.789895750248,3
9.789929750248,2
9.79044575018,3
9.79047975018,2
9.813853574259,3
9.813887574259,2
9.817279573838,3
9.817313573838,2
9.817495064644,3
9.817529064644,2
9.81793206459,3
9.81796606459,2
9.81834206454,3
9.81837606454,2
9.819013064457,3
9.819047064457,2
9.835337529682,3
9.835371529682,2
9.83907052916,3
9.83910452916,2
9.839705014551,3
9.839739014551,2
9.847437425849,3
9.847471425849,2
9.847652909234,3
9.847686909234,2
9.872941953117,3
9.872975953117,2
9.893336360933,3
9.893370360933,2
9.893551833033,3
