"packetReceivedFromPeerWithoutRetry:vector(packetBytes) manet.host[1].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
30.858322985178,14
30.874392581437,864
30.875357869419,1500
30.886455582198,122
30.887114252738,14
30.94298893268,104
30.945923150871,122
30.948382560241,122
30.954525412607,116
30.962159415706,122
30.967464975669,864
30.979251891991,944
30.987884218893,864
31.008025089457,122
31.009354811494,864
31.020459660309,1500
31.03140354892,1500
31.050578806376,864
31.065404410613,1500
31.075152476547,104
31.075298476544,110
31.075676476535,116
31.076428195704,116
31.076895827173,110
31.080231161603,116
31.081039257758,110
31.081151026865,116
31.081886028762,1500
31.087271325315,864
31.097445810481,116
31.097537810474,122
31.097775810455,122
31.099682238247,1500
31.100619702746,122
31.104989514734,122
31.145115489688,864
31.146199154972,1500
31.153654884906,1500
31.170189339838,864
31.170488616934,944
31.170876893957,1500
31.190697718727,1500
31.191676664449,864
31.197691689842,14
31.230533193838,1500
31.2307484564,864
31.238804438066,110
31.243137366817,122
31.247508906346,122
31.260682205142,864
31.26145761628,122
31.274085041762,86
31.28421113196,1500
31.299285376957,86
31.299458376953,116
31.300170376936,122
31.300761376927,1500
31.303621433656,864
31.306950088021,122
31.313646279738,122
31.325344559007,1500
31.326289833255,944
31.380985898735,1500
31.41071091434,116
31.411300183875,122
31.42039758337,116
31.423196613155,864
31.426580479367,122
31.58432552931,1500
31.765335524031,864
31.773244521031,864
31.801055520384,864
31.853441514565,944
31.854183509348,104
31.861987703351,110
31.862477649775,122
31.863126356175,110
31.866147141368,122
31.866817671823,122
31.868936013185,122
31.869250070107,116
31.871418469126,122
31.880156182049,122
31.880577175614,14
31.882308236589,122
31.937965159899,14
31.944503159752,1500
32.007100158297,944
32.056290280941,122
32.059412602124,86
32.066879560618,98
32.075533043034,104
32.077688439237,110
32.078162499308,110
32.07836679673,110
32.080670675635,110
32.082565140723,116
32.085123092603,110
32.085220624442,110
32.086489236116,116
32.087018560247,116
32.087321600565,122
32.087548050631,122
32.088923536567,122
32.107394251612,864
32.149936645281,92
32.185661179127,92
32.207267116332,14
32.207452243175,14
32.208542273479,14
32.220623910251,14
32.221667937485,14
32.221892964667,14
32.253577235317,864
32.296074330032,86
32.29659133002,122
32.305386261279,98
32.309310629823,86
32.321935400464,92
