"packetSentToPeerWithoutRetry:vector(packetBytes) manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
24.903769721243,1500
24.903989244429,864
24.912643905033,1500
24.915470428763,864
24.923117569992,944
24.935826569992,1500
24.967344569992,864
24.967800096204,1500
24.980433138353,864
24.981546665225,1500
24.991382784555,864
25.000508312334,1500
25.014078954467,864
25.014445482915,944
25.021806011483,1500
25.035288011483,864
25.069950597118,1500
25.070170128251,864
25.070589659397,1500
25.088851264092,864
25.090189796184,1500
25.103895531039,864
25.115741531039,944
25.121664064658,1500
25.126133598516,864
25.127648132427,1500
25.139896132489,864
25.147657667368,1500
25.157611667368,864
25.168483203264,1500
25.176130739536,864
25.181073739536,944
25.197704276205,1500
25.228259276205,864
25.232040815206,1500
25.245549815206,864
25.257450073392,1500
25.257669613658,864
25.273166154261,1500
25.295837154261,864
25.338040154261,944
25.355907699377,1500
25.365156245075,864
25.378406009377,1500
25.392563009377,864
25.412212557295,1500
25.428241557295,864
25.441377106069,1500
25.447157655743,864
25.455771865713,944
25.459148415978,1500
25.468884966742,864
25.475768195966,1500
25.477299747153,864
25.487622963525,1500
25.48860651528,864
25.489283067061,1500
25.492673415016,864
25.493979967016,944
25.504611447857,104
25.504690447857,104
25.504832447857,104
25.504965447857,104
25.505147447857,110
25.505230447857,116
25.505439447857,110
25.505648447857,122
25.505785447857,110
25.506054310516,116
25.506227310516,116
25.506436310516,116
25.506645310516,122
25.506741066887,14
25.506869066887,122
25.507024066887,116
25.507233066887,116
25.507424066887,122
25.507507066887,116
25.507694929262,122
25.507777929262,122
25.507851929262,122
25.508030791578,122
25.508140791578,116
25.508610085557,1500
25.510244486612,864
25.518618405346,1500
25.524841549731,14
25.533878705526,14
25.534163705552,14
25.539739705552,864
25.564285470752,14
25.573298470752,1500
25.581121027185,864
25.593380729727,1500
25.594373286833,864
25.60183799244,944
25.609773474004,14
25.610013248846,14
25.610262023731,14
25.611180023814,14
25.61536802419,14
25.61570002419,1500
25.616862024324,14
25.617888024417,14
25.62840426977,14
25.637188270561,14
25.637437050336,14
25.639234050498,14
25.644713831462,14
25.649326831462,864
25.650222391386,1500
25.655377642473,14
25.65556364249,14
25.65752164249,864
25.660564678197,14
25.661260238711,1500
25.673877234555,14
25.675467234527,14
25.677339792985,864
25.680596354487,1500
25.685276611158,864
25.686188337387,944
25.694496899204,122
25.694665899204,92
25.694882653855,92
25.697036618319,92
25.697226372886,92
25.698514881942,92
25.698989636445,92
25.699518390932,92
25.699957145401,92
25.700209899866,92
25.703700655461,92
25.70431940977,92
25.716008255799,92
25.716519009663,92
25.717443763511,92
25.718897803774,92
25.719529807346,1500
25.720554561098,864
25.734374233737,1500
25.734589986999,864
25.737473740125,92
25.737778740125,1500
25.74835976001,864
25.752511223941,14
25.756009912296,1500
25.769186366212,864
25.809297355023,1500
25.812802917402,864
25.813241729156,1500
25.819524292506,864
25.831784292506,944
25.843533400967,1500
25.861207423738,864
25.873664423738,1500
25.916553197677,864
25.919918433693,14
25.934558744268,14
25.936248860666,14
25.940965249478,14
25.943158297968,14
25.943530297962,14
25.951346272395,1500
25.993338747829,864
25.999618615683,1500
26.0131040359,864
26.022340183182,944
26.032640066187,1500
26.034568919286,864
26.047848831021,1500
26.061352471454,864
26.076197000781,1500
26.09377103985,864
26.10425703985,1500
26.105978906509,864
26.115133906509,944
26.117666775372,1500
26.131462646897,864
26.141696646897,1500
26.150723646897,864
26.183880646897,1500
26.209584533428,864
26.223787533428,1500
26.225671423066,864
26.236365423066,944
26.237208314902,1500
26.245812314902,864
26.255362314902,1500
26.296402314902,864
26.337506314902,1500
26.371949314902,864
26.408166314902,1500
26.432448244971,864
26.444393244971,944
26.466966244971,1500
26.495874244971,864
26.534485244971,1500
26.564770244971,864
26.601977244971,1500
26.647508244971,864
26.677902244971,1500
26.678123224268,864
26.687683224268,944
26.704253224268,1500
26.748533224268,864
26.790287390948,1500
26.823740390948,864
26.853261390948,1500
26.879046390948,864
26.919781390948,1500
26.966969213076,864
27.01068953231,944
27.011092580327,1500
27.022850629198,864
27.044376017717,1500
27.072026840783,864
27.077772795213,14
27.081858795253,1500
27.083337858521,864
27.084668922041,1500
27.088413986383,864
27.094693943532,14
27.102105943714,944
27.103488011224,1500
27.11679708093,864
27.11712815134,1500
27.119857222342,864
27.132134295935,1500
27.143501259094,14
27.146152259094,864
27.159232336938,1500
27.159453416358,864
27.167915416358,944
27.182010416358,1500
27.20642570229,14
27.224075702394,864
27.241242799259,1500
27.250710799259,864
27.269800799259,1500
27.308887799259,864
27.318115912705,1500
27.329257912705,864
27.3340790296,944
27.3450810296,122
27.3451820296,122
27.3453280296,116
27.34554114904,14
27.34565114904,116
27.34581514904,116
27.34593414904,122
27.34608914904,116
27.34621714904,122
27.3463202686,14
27.3464032686,122
27.3465672686,116
27.3466502686,122
27.3467602686,122
27.3468972686,122
27.3470522686,122
27.3471442686,122
27.3472362686,122
27.3474272686,122
27.3477142686,1500
27.356380998044,14
27.359184998044,864
27.359651120465,1500
27.370586120465,864
27.392179245636,1500
27.429061245636,864
27.460229245636,1500
27.477186393749,864
27.481039542704,944
27.494476542704,86
27.494808542704,1500
27.509784542704,864
27.521953542704,1500
27.551320707137,864
27.559241707137,1500
27.568115707137,864
27.610155707137,1500
27.620804886964,864
27.633046886964,944
27.640984886964,86
27.647786886964,92
27.649053886964,104
27.65651961541,104
27.661413628625,110
27.662222628625,1500
27.662443817723,864
27.67044399929,1500
27.676397663009,14
27.680146410398,14
27.684746503761,864
27.686251158007,14
27.689106961897,14
27.689256961892,14
27.689766961872,14
27.702002007999,14
27.719501056268,14
27.720193056268,1500
27.746619162632,14
27.76532814334,864
27.766356886286,14
27.774075804572,14
27.785064176107,1500
27.798537176107,864
27.814775176107,944
27.837285404482,1500
27.852243404482,864
27.872071404482,1500
27.891288645141,864
27.893722886323,1500
27.904720886323,864
27.909167886323,1500
27.944825886323,864
27.971692886323,944
27.985790148576,104
27.985954148576,110
27.986091148576,116
27.986251148576,98
27.986361148576,110
27.986552148576,116
27.986844841293,122
27.987026841293,110
27.987109841293,122
27.987273841293,116
27.987381951586,116
27.987464951586,110
27.987629951586,64
27.987737253162,116
27.987811253162,122
27.987993253162,122
27.988079710544,122
27.988279710544,122
27.988407710544,122
27.988716403377,1500
27.991377104804,864
27.992355368571,14
28.009642301825,1500
28.009858003052,864
28.011539590255,1500
28.012474291454,864
28.014957824142,1500
28.015173525312,864
28.023760388682,1500
28.036678089625,864
28.037603655859,944
28.039526038418,1500
28.040769440228,864
28.041185141125,1500
28.041400842019,864
28.04177154291,1500
28.043470359086,864
28.043895059955,1500
28.044685760815,864
28.05781049599,1500
28.059824196695,864
28.062221578107,1500
28.064172278768,864
28.075871724457,98
28.076004724457,92
28.076106724457,64
28.076293724457,86
28.076607724457,1500
28.076821788288,864
28.0771638521,1500
28.077377915892,864
28.077836979666,1500
28.078051043411,864
28.078465107138,1500
28.078679170839,864
28.078968234523,944
28.079292298187,1500
28.07950636183,864
28.079875425456,1500
28.080089489059,864
28.080913552609,1500
28.08112761614,864
28.082676679576,1500
28.085101742831,864
28.086442869205,944
28.086820932349,1500
28.087034995469,864
28.087940058539,1500
28.08874712154,864
28.090188184452,1500
28.090402247338,864
28.090762310206,1500
28.090976373053,864
28.091274435881,944
28.093154561347,92
28.093468561347,1500
28.093682624006,864
28.094024686646,1500
28.095667749167,864
28.096919811609,1500
28.097133874028,864
28.097614936411,92
28.097982936411,1500
28.099374287167,864
28.101709576085,1500
28.119096622198,864
28.140523682472,1500
28.14074498049,864
28.15082598049,1500
28.159716341411,864
28.170898399358,944
28.196505280433,1500
28.23597901911,864
28.273402261278,1500
28.31966839806,864
28.347424592267,1500
28.394360876761,864
28.444900090796,1500
28.493677546524,864
28.504854723665,944
28.517445759171,86
28.529235881938,92
28.534830282287,116
28.542426035005,116
28.547303068156,122
28.552381068156,116
28.559857208216,122
28.563784240344,116
28.565721240344,122
28.570286240344,122
28.575707214729,1500
28.578206245803,864
28.578548276862,1500
28.581144307758,864
28.581986338609,1500
28.582200369441,864
28.583033400226,1500
28.583247430994,864
28.583928461725,944
28.584324492436,1500
28.585805523048,864
28.586147553644,1500
28.588024584121,864
28.588348614582,1500
28.589344644978,864
28.593826705335,1500
28.594786735401,864
28.595048765452,944
28.595195795487,122
28.595314795487,122
28.595655795487,1500
28.596453825453,864
28.597525855358,1500
28.597739885246,864
28.598072915118,1500
28.599014944928,864
28.599446974723,1500
28.599661004495,864
28.600315034226,944
28.600639063943,1500
28.60141142498,864
28.60242178587,1500
28.602635815462,864
28.602977845037,1500
28.603191874595,864
28.603578904137,1500
28.604888933593,864
28.605248963032,1500
28.606127992412,864
28.606515021777,1500
28.607888051051,864
28.60832008031,1500
28.608534109545,864
28.608749138764,98
28.608906835508,122
28.609025835508,122
28.609216835508,122
28.609371835508,122
28.609499835508,122
28.609867835508,1500
28.630871836869,864
28.633016279313,1500
28.648168496215,864
28.666338537436,1500
28.672219961576,864
28.673069385894,1500
28.675942810936,864
28.684042835798,944
28.700156860058,122
28.705539854024,1500
28.735971898266,864
28.752830940933,1500
28.795803069991,864
28.834669298374,1500
28.870464389291,864
28.914895706702,1500
28.915117190213,864
28.931571721895,944
28.932818209776,86
